,Attribute,Total Instances Pradeep,Total Instances Hitesh,Dissimilar Instances,Kappa Score
0,Name (Last),1,0,1,0.0
1,Culture,8,8,0,1.0
2,Race,28,28,0,1.0
3,Social Circle,2,2,0,1.0
4,Religion,1,1,0,1.0
5,Previous/Current Location (Partial),3,3,0,1.0
6,Landmark,3,3,0,1.0
7,Height Group,15,15,0,1.0
8,Professional Circle,4,4,0,1.0
9,Occupation,2,2,0,1.0
10,Similar view,7,7,0,1.0
11,Face (Complete),19,19,2,0.8473684210526315
12,Color,28,28,0,1.0
13,Sports,3,3,0,1.0
14,Face (Partial),6,6,2,0.7898550724637681
15,Personal Relationships,1,1,0,1.0
16,Hobbies,1,1,0,1.0
17,Political Opinion,1,1,0,1.0
18,Gender,28,28,0,1.0
19,Work Occassion,1,1,0,1.0
20,Traditional clothing,3,3,0,1.0
21,Hair Color,28,27,1,0.6506024096385543
22,Eye Color,15,15,0,1.0
23,Physical disability,1,1,0,1.0
24,Semi-nudity,4,4,0,1.0
25,Education history,1,1,0,1.0
26,Age Group,27,27,0,1.0
27,General Opinion,4,4,0,1.0
28,Spectators,6,6,0,1.0
29,Weight Group,15,15,0,1.0
